N,X,Y,Z,Time,Jitter,Time Calculated,Sender
185,-1.024,-0.002,0.002,1653088438.330228,-0.010249853134155273,1653088438.340478,20.0
186,-1.024,-0.002,0.001,1653088438.533167,-0.007311058044436436,1653088438.540478,20.0
187,-1.025,-0.002,0.002,1653088438.73597,-0.004507923126219282,1653088438.740478,20.0
188,-1.025,-0.002,0.002,1653088438.938187,-0.0022910594940199758,1653088438.9404778,20.0
189,-1.025,-0.002,0.002,1653088439.140615,0.00013704299926331487,1653088439.140478,20.0
190,-1.024,-0.002,0.001,1653088439.341837,0.0013589859008789062,1653088439.340478,20.0
191,-1.024,-0.002,0.002,1653088439.546292,0.005814123153683681,1653088439.540478,20.0
192,-1.025,-0.002,0.002,1653088439.725351,-0.01512684822083088,1653088439.740478,20.0
193,-1.025,-0.002,0.002,1653088439.927551,-0.012926912307740679,1653088439.9404778,20.0
194,-1.024,-0.002,0.002,1653088440.131653,-0.008824872970585318,1653088440.140478,20.0
195,-1.024,-0.002,0.002,1653088440.332245,-0.008232831954956055,1653088440.340478,20.0
196,-1.024,-0.002,0.001,1653088440.536207,-0.0042709827423124125,1653088440.540478,20.0
197,-1.024,-0.002,0.002,1653088440.738691,-0.0017868518829402547,1653088440.740478,20.0
198,-1.024,-0.002,0.002,1653088440.940346,-0.00013194084167622577,1653088440.9404778,20.0
199,-1.024,-0.002,0.002,1653088441.142437,0.0019590377807574555,1653088441.140478,20.0
200,-1.024,-0.002,0.002,1653088441.34568,0.005202054977416992,1653088441.340478,20.0
201,-1.024,-0.002,0.002,1653088441.526373,-0.014105033874514561,1653088441.540478,20.0
202,-1.024,-0.002,0.002,1653088441.728028,-0.012449884414678536,1653088441.740478,20.0
203,-1.025,-0.002,0.002,1653088441.930425,-0.010053014755250445,1653088441.9404778,20.0
204,-1.024,-0.002,0.002,1653088442.133535,-0.006943035125736685,1653088442.140478,20.0
205,-1.024,-0.002,0.002,1653088442.336174,-0.004303932189941406,1653088442.340478,20.0
206,-1.024,-0.002,0.002,1653088442.538314,-0.002163839340212803,1653088442.540478,20.0
207,-1.025,-0.002,0.002,1653088442.740178,-0.00029983520508380934,1653088442.740478,20.0
208,-1.024,-0.002,0.002,1653088442.942627,0.0021490097045884227,1653088442.9404778,20.0
209,-1.025,-0.002,0.001,1653088443.145529,0.0050510883331256196,1653088443.140478,20.0
210,-1.025,-0.002,0.002,1653088443.324711,-0.01576685905456543,1653088443.340478,20.0
211,-1.025,-0.002,0.002,1653088443.527392,-0.013086032867434483,1653088443.540478,20.0
